invoice_number,date,amount,gst_amount,tax_type,gstin,description,industry_type
INV-2024-001,2024-01-15,25000.00,4500.00,CGST,29ABCDE1234F1Z5,Office Supplies - Stationery,Manufacturing
INV-2024-001,2024-01-15,25000.00,4500.00,SGST,29ABCDE1234F1Z5,Office Supplies - Stationery,Manufacturing
INV-2024-002,2024-01-20,150000.00,27000.00,IGST,07ABCDE1234F1Z5,Industrial Machinery Parts,Manufacturing
INV-2024-003,2024-01-25,50000.00,9000.00,CGST,33ABCDE1234F1Z5,Software Development Services,Services
INV-2024-003,2024-01-25,50000.00,9000.00,SGST,33ABCDE1234F1Z5,Software Development Services,Services
INV-2024-004,2024-02-01,75000.00,13500.00,IGST,19ABCDE1234F1Z5,Cloud Hosting Services,Services
INV-2024-005,2024-02-05,100000.00,18000.00,CGST,27ABCDE1234F1Z5,Factory Equipment Maintenance,Manufacturing
INV-2024-005,2024-02-05,100000.00,18000.00,SGST,27ABCDE1234F1Z5,Factory Equipment Maintenance,Manufacturing
INV-2024-006,2024-02-10,30000.00,5400.00,IGST,07ABCDE1234F1Z5,Office Furniture,Trading
INV-2024-007,2024-02-15,45000.00,8100.00,CGST,29ABCDE1234F1Z5,Marketing Services,Services
INV-2024-007,2024-02-15,45000.00,8100.00,SGST,29ABCDE1234F1Z5,Marketing Services,Services
INV-2024-008,2024-02-20,200000.00,36000.00,IGST,33ABCDE1234F1Z5,Industrial Raw Materials,Manufacturing
INV-2024-009,2024-02-25,60000.00,10800.00,CGST,19ABCDE1234F1Z5,IT Infrastructure Setup,Services
INV-2024-009,2024-02-25,60000.00,10800.00,SGST,19ABCDE1234F1Z5,IT Infrastructure Setup,Services
INV-2024-010,2024-03-01,90000.00,16200.00,IGST,27ABCDE1234F1Z5,Retail Inventory,Trading
INV-2024-011,2024-03-05,35000.00,6300.00,CGST,07ABCDE1234F1Z5,Consulting Services,Services
INV-2024-011,2024-03-05,35000.00,6300.00,SGST,07ABCDE1234F1Z5,Consulting Services,Services
INV-2024-012,2024-03-10,120000.00,21600.00,IGST,29ABCDE1234F1Z5,Manufacturing Equipment,Manufacturing
INV-2024-013,2024-03-15,55000.00,9900.00,CGST,33ABCDE1234F1Z5,Digital Marketing Services,Services
INV-2024-013,2024-03-15,55000.00,9900.00,SGST,33ABCDE1234F1Z5,Digital Marketing Services,Services
INV-2024-014,2024-03-20,80000.00,14400.00,IGST,19ABCDE1234F1Z5,Retail Store Fixtures,Retail
INV-2024-015,2024-03-25,40000.00,7200.00,CGST,27ABCDE1234F1Z5,HR Services,Services
INV-2024-015,2024-03-25,40000.00,7200.00,SGST,27ABCDE1234F1Z5,HR Services,Services
INV-2024-016,2024-04-01,150000.00,27000.00,IGST,07ABCDE1234F1Z5,Factory Automation Equipment,Manufacturing
INV-2024-017,2024-04-05,65000.00,11700.00,CGST,29ABCDE1234F1Z5,Legal Services,Services
INV-2024-017,2024-04-05,65000.00,11700.00,SGST,29ABCDE1234F1Z5,Legal Services,Services
INV-2024-018,2024-04-10,95000.00,17100.00,IGST,33ABCDE1234F1Z5,Retail POS Systems,Retail
INV-2024-019,2024-04-15,45000.00,8100.00,CGST,19ABCDE1234F1Z5,Accounting Services,Services
INV-2024-019,2024-04-15,45000.00,8100.00,SGST,19ABCDE1234F1Z5,Accounting Services,Services
INV-2024-020,2024-04-20,180000.00,32400.00,IGST,27ABCDE1234F1Z5,Industrial Safety Equipment,Manufacturing 
